,dataset,noise_type,initial_noise,slope,stderr,corr,threshold,p_value,combine
7,xyguassian200,sym,0.3,0.057333333333333375,0.006713328762155409,0.9552116626424937,0.1,0.0001,xyguassian200_sym_0.3
8,xyguassian200,pair,0.0,-0.01625000000000004,0.0056760251853530085,-0.7344124877258439,0.1,0.0000,xyguassian200_pair_0.0
9,xyguassian200,pair,0.1,0.009333333333333345,0.01489611291223923,0.23044421943387947,0.1,0.0001,xyguassian200_pair_0.1
10,xyguassian200,pair,0.2,0.0020000000000000044,0.01482918615112651,0.05090965190008158,0.1,0.0001,xyguassian200_pair_0.2
11,xyguassian200,pair,0.3,0.057333333333333375,0.006713328762155409,0.9552116626424937,0.1,0.0001,xyguassian200_pair_0.3
12,yxguassian200,instance,0.0,0.6706666666666667,0.01299938948505406,0.9986876642854496,0.1,1.0000,yxguassian200_instance_0.0
13,yxguassian200,instance,0.1,0.6153333333333334,0.013635853766321013,0.9982856719638479,0.1,1.0000,yxguassian200_instance_0.1
14,yxguassian200,instance,0.2,0.4586666666666668,0.009270194600789072,0.9985733375644366,0.1,1.0000,yxguassian200_instance_0.2
15,yxguassian200,instance,0.3,0.31600000000000006,0.004889249625940274,0.9991631783747983,0.1,1.0000,yxguassian200_instance_0.3
16,yxguassian200,sym,0.0,0.734,0.010783585409580203,0.9992454109442119,0.1,1.0000,yxguassian200_sym_0.0
17,yxguassian200,sym,0.1,0.5859999999999999,0.006102302453836997,0.9996206735672375,0.1,1.0000,yxguassian200_sym_0.1
18,yxguassian200,sym,0.2,0.4746666666666666,0.007510838728977161,0.9991248207148953,0.1,1.0000,yxguassian200_sym_0.2
19,yxguassian200,sym,0.3,0.3306666666666666,0.010439546301641924,0.996529555697818,0.1,1.0000,yxguassian200_sym_0.3
20,yxguassian200,pair,0.0,0.76375,0.022718843133692664,0.9969173357322224,0.1,1.0000,yxguassian200_pair_0.0
21,yxguassian200,pair,0.1,0.5859999999999999,0.006102302453836997,0.9996206735672375,0.1,1.0000,yxguassian200_pair_0.1
22,yxguassian200,pair,0.2,0.4746666666666666,0.007510838728977161,0.9991248207148953,0.1,1.0000,yxguassian200_pair_0.2
23,yxguassian200,pair,0.3,0.3306666666666666,0.010439546301641924,0.996529555697818,0.1,1.0000,yxguassian200_pair_0.3
24,xyguassian1000,instance,0.0,0.0140666666666668,0.0024022476247867234,0.9112961839805538,0.1,0.0000,xyguassian1000_instance_0.0
25,xyguassian1000,instance,0.1,0.007933333333333282,0.002313384108129448,0.7917514108553364,0.1,0.0000,xyguassian1000_instance_0.1
26,xyguassian1000,instance,0.2,0.011666666666666714,0.0049811284074635425,0.6628439169569688,0.1,0.0000,xyguassian1000_instance_0.2
27,xyguassian1000,instance,0.3,0.006866666666666716,0.005663266954028652,0.4166138556995751,0.1,0.0000,xyguassian1000_instance_0.3
28,xyguassian1000,sym,0.0,0.04486666666666668,0.0036177984477394056,0.9779917714809078,0.1,0.0000,xyguassian1000_sym_0.0
29,xyguassian1000,sym,0.1,0.02059999999999999,0.0027024190613353536,0.9447141423299337,0.1,0.0000,xyguassian1000_sym_0.1
30,xyguassian1000,sym,0.2,0.012333333333333352,0.002985502891177256,0.8420988450360807,0.1,0.0000,xyguassian1000_sym_0.2
31,xyguassian1000,sym,0.3,0.015533333333333316,0.0017264208932149469,0.9593813349846484,0.1,0.0000,xyguassian1000_sym_0.3
32,xyguassian1000,pair,0.0,0.04486666666666668,0.0036177984477394056,0.9779917714809078,0.1,0.0000,xyguassian1000_pair_0.0
33,xyguassian1000,pair,0.1,0.02059999999999999,0.0027024190613353536,0.9447141423299337,0.1,0.0000,xyguassian1000_pair_0.1
34,xyguassian1000,pair,0.2,0.012333333333333352,0.002985502891177256,0.8420988450360807,0.1,0.0000,xyguassian1000_pair_0.2
35,xyguassian1000,pair,0.3,0.015533333333333316,0.0017264208932149469,0.9593813349846484,0.1,0.0000,xyguassian1000_pair_0.3
36,yxguassian1000,instance,0.0,0.6148666666666667,0.006544321824920993,0.9996037427298963,0.1,1.0000,yxguassian1000_instance_0.0
37,yxguassian1000,instance,0.1,0.5536666666666668,0.008350965473441984,0.9992047085040171,0.1,1.0000,yxguassian1000_instance_0.1
38,yxguassian1000,instance,0.2,0.4494000000000001,0.009078924953257237,0.998574584710961,0.1,1.0000,yxguassian1000_instance_0.2
39,yxguassian1000,instance,0.3,0.3043333333333334,0.005970208224457659,0.9986557761868963,0.1,1.0000,yxguassian1000_instance_0.3
40,yxguassian1000,sym,0.0,0.7322000000000001,0.008570936493810574,0.9995207602139651,0.1,1.0000,yxguassian1000_sym_0.0
41,yxguassian1000,sym,0.1,0.5859333333333334,0.006295828803061058,0.9995961553717,0.1,1.0000,yxguassian1000_sym_0.1
42,yxguassian1000,sym,0.2,0.4603333333333333,0.007875418860114045,0.9989771691774443,0.1,1.0000,yxguassian1000_sym_0.2
43,yxguassian1000,sym,0.3,0.31180000000000013,0.007640368976380269,0.9979050287586083,0.1,1.0000,yxguassian1000_sym_0.3
44,yxguassian1000,pair,0.0,0.7322000000000001,0.008570936493810574,0.9995207602139651,0.1,1.0000,yxguassian1000_pair_0.0
45,yxguassian1000,pair,0.1,0.5859333333333334,0.006295828803061058,0.9995961553717,0.1,1.0000,yxguassian1000_pair_0.1
46,yxguassian1000,pair,0.2,0.4603333333333333,0.007875418860114045,0.9989771691774443,0.1,1.0000,yxguassian1000_pair_0.2
47,yxguassian1000,pair,0.3,0.31180000000000013,0.007640368976380269,0.9979050287586083,0.1,1.0000,yxguassian1000_pair_0.3
48,xyguassian5000,instance,0.0,0.0017999999999999594,0.004647989836887503,0.14482886184435909,0.1,0.0000,xyguassian5000_instance_0.0
49,xyguassian5000,instance,0.1,0.013866666666666739,0.00398364380805041,0.7961327599749352,0.1,0.0000,xyguassian5000_instance_0.1
50,xyguassian5000,instance,0.2,0.009000000000000053,0.004183869250438188,0.6308480091214611,0.1,0.0000,xyguassian5000_instance_0.2
51,xyguassian5000,instance,0.3,0.01559999999999994,0.0030088757590391573,0.8907259627452979,0.1,0.0000,xyguassian5000_instance_0.3
52,xyguassian5000,sym,0.0,-0.003066666666666643,0.00351977031477669,-0.3127852785859867,0.1,0.0000,xyguassian5000_sym_0.0
53,xyguassian5000,sym,0.1,0.0066000000000000884,0.005015995578169045,0.4452943771346365,0.1,0.0000,xyguassian5000_sym_0.1
54,xyguassian5000,sym,0.2,0.03686666666666678,0.005821652704485258,0.922707435396368,0.1,0.0000,xyguassian5000_sym_0.2
55,xyguassian5000,sym,0.3,0.03719999999999998,0.009444720817618242,0.8301050403602319,0.1,0.0001,xyguassian5000_sym_0.3
56,xyguassian5000,pair,0.0,-0.003066666666666643,0.00351977031477669,-0.3127852785859867,0.1,0.0000,xyguassian5000_pair_0.0
57,xyguassian5000,pair,0.1,0.0066000000000000884,0.005015995578169045,0.4452943771346365,0.1,0.0000,xyguassian5000_pair_0.1
58,xyguassian5000,pair,0.2,0.03686666666666678,0.005821652704485258,0.922707435396368,0.1,0.0000,xyguassian5000_pair_0.2
59,xyguassian5000,pair,0.3,0.03719999999999998,0.009444720817618242,0.8301050403602319,0.1,0.0001,xyguassian5000_pair_0.3
0,xyguassian200,instance,0.0,0.07600000000000005,0.013846857034556589,0.9008035332787101,0.1,0.0606,xyguassian200_instance_0.0
1,xyguassian200,instance,0.1,0.07666666666666674,0.02065206857697159,0.8143442608341798,0.1,0.1456,xyguassian200_instance_0.1
2,xyguassian200,instance,0.2,0.0666666666666667,0.00683517203291741,0.9651217869521813,0.1,0.0006,xyguassian200_instance_0.2
3,xyguassian200,instance,0.3,0.04466666666666677,0.008735380833534272,0.888151123193961,0.1,0.0001,xyguassian200_instance_0.3
4,xyguassian200,sym,0.0,0.01733333333333335,0.007200088182881507,0.6730017260624837,0.1,0.0000,xyguassian200_sym_0.0
5,xyguassian200,sym,0.1,0.009333333333333345,0.01489611291223923,0.23044421943387947,0.1,0.0001,xyguassian200_sym_0.1
6,xyguassian200,sym,0.2,0.0020000000000000044,0.01482918615112651,0.05090965190008158,0.1,0.0001,xyguassian200_sym_0.2
7,xyguassian200,sym,0.3,0.057333333333333375,0.006713328762155409,0.9552116626424937,0.1,0.0001,xyguassian200_sym_0.3
8,xyguassian200,pair,0.0,-0.01625000000000004,0.0056760251853530085,-0.7344124877258439,0.1,0.0000,xyguassian200_pair_0.0
9,xyguassian200,pair,0.1,0.009333333333333345,0.01489611291223923,0.23044421943387947,0.1,0.0001,xyguassian200_pair_0.1
10,xyguassian200,pair,0.2,0.0020000000000000044,0.01482918615112651,0.05090965190008158,0.1,0.0001,xyguassian200_pair_0.2
11,xyguassian200,pair,0.3,0.057333333333333375,0.006713328762155409,0.9552116626424937,0.1,0.0001,xyguassian200_pair_0.3
12,yxguassian200,instance,0.0,0.6706666666666667,0.01299938948505406,0.9986876642854496,0.1,1.0000,yxguassian200_instance_0.0
13,yxguassian200,instance,0.1,0.6153333333333334,0.013635853766321013,0.9982856719638479,0.1,1.0000,yxguassian200_instance_0.1
14,yxguassian200,instance,0.2,0.4586666666666668,0.009270194600789072,0.9985733375644366,0.1,1.0000,yxguassian200_instance_0.2
15,yxguassian200,instance,0.3,0.31600000000000006,0.004889249625940274,0.9991631783747983,0.1,1.0000,yxguassian200_instance_0.3
16,yxguassian200,sym,0.0,0.734,0.010783585409580203,0.9992454109442119,0.1,1.0000,yxguassian200_sym_0.0
17,yxguassian200,sym,0.1,0.5859999999999999,0.006102302453836997,0.9996206735672375,0.1,1.0000,yxguassian200_sym_0.1
18,yxguassian200,sym,0.2,0.4746666666666666,0.007510838728977161,0.9991248207148953,0.1,1.0000,yxguassian200_sym_0.2
19,yxguassian200,sym,0.3,0.3306666666666666,0.010439546301641924,0.996529555697818,0.1,1.0000,yxguassian200_sym_0.3
20,yxguassian200,pair,0.0,0.76375,0.022718843133692664,0.9969173357322224,0.1,1.0000,yxguassian200_pair_0.0
21,yxguassian200,pair,0.1,0.5859999999999999,0.006102302453836997,0.9996206735672375,0.1,1.0000,yxguassian200_pair_0.1
22,yxguassian200,pair,0.2,0.4746666666666666,0.007510838728977161,0.9991248207148953,0.1,1.0000,yxguassian200_pair_0.2
23,yxguassian200,pair,0.3,0.3306666666666666,0.010439546301641924,0.996529555697818,0.1,1.0000,yxguassian200_pair_0.3
24,xyguassian1000,instance,0.0,0.0140666666666668,0.0024022476247867234,0.9112961839805538,0.1,0.0000,xyguassian1000_instance_0.0
25,xyguassian1000,instance,0.1,0.007933333333333282,0.002313384108129448,0.7917514108553364,0.1,0.0000,xyguassian1000_instance_0.1
26,xyguassian1000,instance,0.2,0.011666666666666714,0.0049811284074635425,0.6628439169569688,0.1,0.0000,xyguassian1000_instance_0.2
